location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Long Beach - Hudson,Los Angeles-Long Beach-Santa Ana,US,2019-12-13T06:00:00.000Z,2019-12-12T22:00:00-08:00,co,0.84,ppm,33.802417,-118.219933,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Coast AQMD""}]"
Long Beach - Hudson,Los Angeles-Long Beach-Santa Ana,US,2019-12-13T06:00:00.000Z,2019-12-12T22:00:00-08:00,so2,0,ppm,33.802417,-118.219933,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Coast AQMD""}]"
Long Beach - Hudson,Los Angeles-Long Beach-Santa Ana,US,2019-12-13T05:00:00.000Z,2019-12-12T21:00:00-08:00,o3,0,ppm,33.802417,-118.219933,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Coast AQMD""}]"
Long Beach - Hudson,Los Angeles-Long Beach-Santa Ana,US,2019-12-13T05:00:00.000Z,2019-12-12T21:00:00-08:00,co,1.01,ppm,33.802417,-118.219933,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Coast AQMD""}]"
Long Beach - Hudson,Los Angeles-Long Beach-Santa Ana,US,2019-12-13T05:00:00.000Z,2019-12-12T21:00:00-08:00,no2,0.026,ppm,33.802417,-118.219933,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Coast AQMD""}]"
Long Beach - Hudson,Los Angeles-Long Beach-Santa Ana,US,2019-12-13T05:00:00.000Z,2019-12-12T21:00:00-08:00,so2,0,ppm,33.802417,-118.219933,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Coast AQMD""}]"
Long Beach - Hudson,Los Angeles-Long Beach-Santa Ana,US,2019-12-13T04:00:00.000Z,2019-12-12T20:00:00-08:00,co,1.03,ppm,33.802417,-118.219933,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Coast AQMD""}]"
Long Beach - Hudson,Los Angeles-Long Beach-Santa Ana,US,2019-12-13T04:00:00.000Z,2019-12-12T20:00:00-08:00,no2,0.025,ppm,33.802417,-118.219933,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Coast AQMD""}]"
Long Beach - Hudson,Los Angeles-Long Beach-Santa Ana,US,2019-12-13T04:00:00.000Z,2019-12-12T20:00:00-08:00,o3,0,ppm,33.802417,-118.219933,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Coast AQMD""}]"
Long Beach - Hudson,Los Angeles-Long Beach-Santa Ana,US,2019-12-13T04:00:00.000Z,2019-12-12T20:00:00-08:00,so2,0.001,ppm,33.802417,-118.219933,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Coast AQMD""}]"
Long Beach - Hudson,Los Angeles-Long Beach-Santa Ana,US,2019-12-13T03:00:00.000Z,2019-12-12T19:00:00-08:00,o3,0,ppm,33.802417,-118.219933,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Coast AQMD""}]"
Long Beach - Hudson,Los Angeles-Long Beach-Santa Ana,US,2019-12-13T03:00:00.000Z,2019-12-12T19:00:00-08:00,no2,0.03,ppm,33.802417,-118.219933,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Coast AQMD""}]"
Long Beach - Hudson,Los Angeles-Long Beach-Santa Ana,US,2019-12-13T03:00:00.000Z,2019-12-12T19:00:00-08:00,co,0.89,ppm,33.802417,-118.219933,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Coast AQMD""}]"
Long Beach - Hudson,Los Angeles-Long Beach-Santa Ana,US,2019-12-13T03:00:00.000Z,2019-12-12T19:00:00-08:00,so2,0,ppm,33.802417,-118.219933,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Coast AQMD""}]"
